,date,post_count_anger,post_count_disgust,post_count_fear,post_count_joy,post_count_neutral,post_count_sadness,post_count_surprise,score_anger,score_disgust,score_fear,score_joy,score_neutral,score_sadness,score_surprise,close
131,2022-07-13,62.0,0.0,150.0,359.0,511.0,268.0,418.0,5476.0,0.0,2407.0,4405.0,2617.0,6179.0,5315.0,110.4000015
132,2022-07-14,49.0,0.0,111.0,344.0,443.0,200.0,366.0,1648.0,0.0,1591.0,2768.0,2541.0,2482.0,26905.0,110.6299973
133,2022-07-15,62.0,0.0,92.0,288.0,440.0,216.0,304.0,1518.0,0.0,4194.0,5891.0,2908.0,2458.0,4348.0,113.5500031
134,2022-07-18,58.0,1.0,110.0,262.0,428.0,220.0,341.0,9276.0,4.0,2629.0,6399.0,3165.0,3709.0,2484.0,113.7600021
135,2022-07-19,60.0,1.0,116.0,325.0,399.0,231.0,343.0,12396.0,1.0,2263.0,4784.0,2249.0,3460.0,2184.0,118.2099991
136,2022-07-20,54.0,1.0,110.0,279.0,380.0,226.0,325.0,1034.0,1.0,3977.0,4004.0,1939.0,1649.0,1922.0,122.7699966
137,2022-07-21,68.0,2.0,125.0,326.0,390.0,214.0,300.0,1632.0,8.0,4353.0,4825.0,4205.0,1847.0,2803.0,124.6299973
138,2022-07-22,41.0,1.0,105.0,296.0,398.0,211.0,315.0,378.0,1.0,1229.0,2641.0,2467.0,2755.0,3145.0,122.4199982
139,2022-07-25,47.0,1.0,108.0,318.0,487.0,200.0,341.0,884.0,58.0,1370.0,7510.0,3380.0,2740.0,8979.0,121.1399994
140,2022-07-26,62.0,5.0,118.0,316.0,485.0,261.0,299.0,690.0,247.0,3469.0,5835.0,2018.0,5944.0,4559.0,114.8099976
141,2022-07-27,61.0,5.0,113.0,318.0,497.0,228.0,355.0,3316.0,3.0,1165.0,5976.0,1747.0,4235.0,4146.0,120.9700012
142,2022-07-28,61.0,4.0,101.0,338.0,482.0,231.0,338.0,952.0,2.0,3885.0,7921.0,3308.0,3565.0,19248.0,122.2799988
143,2022-07-29,40.0,2.0,122.0,353.0,468.0,223.0,333.0,457.0,1.0,1443.0,5346.0,3500.0,7327.0,6566.0,134.9499969
144,2022-08-01,76.0,3.0,112.0,335.0,501.0,215.0,340.0,2055.0,11.0,9507.0,7823.0,2449.0,2529.0,6716.0,135.3899994
145,2022-08-02,69.0,6.0,111.0,290.0,489.0,241.0,312.0,2439.0,9.0,2018.0,2805.0,2737.0,3307.0,2734.0,134.1600037
146,2022-08-03,53.0,6.0,99.0,347.0,469.0,222.0,324.0,2779.0,12.0,1347.0,3260.0,3267.0,5321.0,6073.0,139.5200043
147,2022-08-04,51.0,6.0,107.0,306.0,461.0,209.0,362.0,802.0,46.0,2123.0,3540.0,3178.0,3920.0,3859.0,142.5700073
148,2022-08-05,69.0,2.0,119.0,300.0,479.0,210.0,318.0,1574.0,1.0,3189.0,5280.0,3648.0,1986.0,11291.0,140.8000031
149,2022-08-08,60.0,3.0,117.0,357.0,448.0,223.0,355.0,8825.0,3.0,4365.0,4849.0,2664.0,10031.0,4304.0,139.4100037
150,2022-08-09,74.0,3.0,148.0,340.0,468.0,206.0,343.0,7463.0,24.0,4199.0,8667.0,7091.0,10058.0,3771.0,137.8300018
151,2022-08-10,65.0,0.0,129.0,323.0,465.0,209.0,361.0,2472.0,0.0,5622.0,5200.0,5813.0,2227.0,4575.0,142.6900024
152,2022-08-11,50.0,2.0,136.0,375.0,441.0,201.0,310.0,3275.0,5.0,2176.0,2904.0,3133.0,1423.0,2780.0,140.6399994
153,2022-08-12,62.0,2.0,133.0,335.0,377.0,212.0,288.0,3060.0,8.0,883.0,2736.0,1928.0,2892.0,1438.0,143.5500031
154,2022-08-15,60.0,4.0,95.0,329.0,455.0,220.0,294.0,802.0,12.0,1142.0,4194.0,2196.0,3740.0,4565.0,143.1799927
155,2022-08-16,66.0,2.0,88.0,333.0,410.0,201.0,308.0,1063.0,2.0,1282.0,8369.0,2393.0,4485.0,4139.0,144.7799988
156,2022-08-17,71.0,1.0,138.0,351.0,488.0,236.0,302.0,1203.0,1.0,1841.0,12207.0,2609.0,8153.0,2796.0,142.1000061
157,2022-08-18,47.0,3.0,92.0,321.0,500.0,197.0,285.0,28457.0,22.0,2111.0,3708.0,1758.0,4439.0,7143.0,142.3000031
158,2022-08-19,60.0,0.0,90.0,301.0,447.0,195.0,293.0,686.0,0.0,884.0,9957.0,2094.0,1269.0,2430.0,138.2299957
159,2022-08-22,43.0,2.0,107.0,362.0,510.0,218.0,322.0,867.0,13.0,8158.0,4294.0,2052.0,6761.0,2543.0,133.2200012
160,2022-08-23,64.0,3.0,102.0,337.0,451.0,192.0,295.0,4832.0,9.0,734.0,4135.0,3259.0,37324.0,8507.0,133.6199951
161,2022-08-24,48.0,1.0,94.0,340.0,435.0,229.0,325.0,494.0,5.0,952.0,5856.0,5370.0,1827.0,2601.0,133.8000031
162,2022-08-25,62.0,2.0,114.0,353.0,503.0,204.0,351.0,1063.0,4.0,9558.0,6811.0,3194.0,2825.0,11837.0,137.2799988
163,2022-08-26,62.0,2.0,130.0,498.0,729.0,235.0,415.0,1630.0,8.0,1519.0,4043.0,3051.0,2362.0,2901.0,130.75
164,2022-08-29,54.0,2.0,77.0,306.0,497.0,258.0,323.0,1140.0,7.0,3135.0,3019.0,6563.0,7550.0,4015.0,129.7899933
165,2022-08-30,56.0,3.0,129.0,362.0,496.0,197.0,324.0,3036.0,33.0,1514.0,6571.0,5324.0,1477.0,5871.0,128.7299957
